root,subkey,count
HKEY_CLASSES_ROOT,.dcr,2
HKEY_CLASSES_ROOT,.dcs,2
HKEY_CLASSES_ROOT,.dct,1
HKEY_CLASSES_ROOT,.dctx,0
HKEY_CLASSES_ROOT,.dctxc,0
HKEY_CLASSES_ROOT,.dddl,1
HKEY_CLASSES_ROOT,.dds,0
HKEY_CLASSES_ROOT,.deb,1
HKEY_CLASSES_ROOT,.dec,1
HKEY_CLASSES_ROOT,.def,1
HKEY_CLASSES_ROOT,.der,0
HKEY_CLASSES_ROOT,.desklink,1
HKEY_CLASSES_ROOT,.deskthemepack,1
HKEY_CLASSES_ROOT,.dft,1
HKEY_CLASSES_ROOT,.dgn,1
HKEY_CLASSES_ROOT,.diagcab,1
HKEY_CLASSES_ROOT,.diagcfg,0
HKEY_CLASSES_ROOT,.diagpkg,0
HKEY_CLASSES_ROOT,.dib,2
HKEY_CLASSES_ROOT,.dic,1
HKEY_CLASSES_ROOT,.diff,1
HKEY_CLASSES_ROOT,.divx,1
HKEY_CLASSES_ROOT,.diz,0
HKEY_CLASSES_ROOT,.djayMidiMapping,1
HKEY_CLASSES_ROOT,.dl,1
HKEY_CLASSES_ROOT,.dll,1
HKEY_CLASSES_ROOT,.dl_,1
HKEY_CLASSES_ROOT,.dmg,1
HKEY_CLASSES_ROOT,.dng,2
HKEY_CLASSES_ROOT,.doc,2
HKEY_CLASSES_ROOT,.dockerfile,1
HKEY_CLASSES_ROOT,.docm,1
HKEY_CLASSES_ROOT,.docx,2
HKEY_CLASSES_ROOT,.dos,1
HKEY_CLASSES_ROOT,.dot,2
HKEY_CLASSES_ROOT,.dotm,1
HKEY_CLASSES_ROOT,.dotx,1
HKEY_CLASSES_ROOT,.drf,2
HKEY_CLASSES_ROOT,.drv,1
HKEY_CLASSES_ROOT,.dsd,0
HKEY_CLASSES_ROOT,.dsn,0
HKEY_CLASSES_ROOT,.dsp,1
HKEY_CLASSES_ROOT,.dst,1
HKEY_CLASSES_ROOT,.dsw,1
HKEY_CLASSES_ROOT,.dtcp-ip,0
HKEY_CLASSES_ROOT,.dtd,1
HKEY_CLASSES_ROOT,.dvb,0
HKEY_CLASSES_ROOT,.dvr-ms,2
HKEY_CLASSES_ROOT,.dwg,3
HKEY_CLASSES_ROOT,.dws,3
HKEY_CLASSES_ROOT,.dwt,2
HKEY_CLASSES_ROOT,.dxb,0
HKEY_CLASSES_ROOT,.dxe,0
HKEY_CLASSES_ROOT,.dxex,0
HKEY_CLASSES_ROOT,.dxf,2
HKEY_CLASSES_ROOT,.dxt,0
HKEY_CLASSES_ROOT,.dxx,0
HKEY_CLASSES_ROOT,.e,1
HKEY_CLASSES_ROOT,.e00,1
HKEY_CLASSES_ROOT,.ec3,1
HKEY_CLASSES_ROOT,.editorconfig,1
HKEY_CLASSES_ROOT,.edn,1
HKEY_CLASSES_ROOT,.edoc,1
HKEY_CLASSES_ROOT,.efi,1
HKEY_CLASSES_ROOT,.efx,1
HKEY_CLASSES_ROOT,.egg,1
HKEY_CLASSES_ROOT,.eip,2
HKEY_CLASSES_ROOT,.elf,1
HKEY_CLASSES_ROOT,.emf,2
HKEY_CLASSES_ROOT,.emi,1
HKEY_CLASSES_ROOT,.eml,2
HKEY_CLASSES_ROOT,.enc,1
HKEY_CLASSES_ROOT,.enex,1
HKEY_CLASSES_ROOT,.env,1
HKEY_CLASSES_ROOT,.eot,1
HKEY_CLASSES_ROOT,.epf,1
HKEY_CLASSES_ROOT,.epm,1
HKEY_CLASSES_ROOT,.eps,2
HKEY_CLASSES_ROOT,.epub,0
HKEY_CLASSES_ROOT,.erb,1
HKEY_CLASSES_ROOT,.erf,2
HKEY_CLASSES_ROOT,.err,0
HKEY_CLASSES_ROOT,.es,1
HKEY_CLASSES_ROOT,.esd,1
HKEY_CLASSES_ROOT,.esm,1
HKEY_CLASSES_ROOT,.esp,1
HKEY_CLASSES_ROOT,.est,1
HKEY_CLASSES_ROOT,.et,1
HKEY_CLASSES_ROOT,.etl,1
HKEY_CLASSES_ROOT,.etp,1
HKEY_CLASSES_ROOT,.evt,0
HKEY_CLASSES_ROOT,.evtx,1
HKEY_CLASSES_ROOT,.ex,1
HKEY_CLASSES_ROOT,.exe,1
HKEY_CLASSES_ROOT,.exp,2
HKEY_CLASSES_ROOT,.export,1
HKEY_CLASSES_ROOT,.exr,1
HKEY_CLASSES_ROOT,.ext,2
HKEY_CLASSES_ROOT,.ext2,1
HKEY_CLASSES_ROOT,.ext3,1
HKEY_CLASSES_ROOT,.ext4,1
HKEY_CLASSES_ROOT,.exx,1
HKEY_CLASSES_ROOT,.ex_,1
HKEY_CLASSES_ROOT,.eyaml,1
HKEY_CLASSES_ROOT,.eyb,1
HKEY_CLASSES_ROOT,.eyml,1
HKEY_CLASSES_ROOT,.f,1
HKEY_CLASSES_ROOT,.f4a,1
HKEY_CLASSES_ROOT,.f4v,1
HKEY_CLASSES_ROOT,.faq,1
HKEY_CLASSES_ROOT,.fas,0
HKEY_CLASSES_ROOT,.fat,1
HKEY_CLASSES_ROOT,.fax,0
HKEY_CLASSES_ROOT,.fbx,1
HKEY_CLASSES_ROOT,.fdc,0
HKEY_CLASSES_ROOT,.fff,2
HKEY_CLASSES_ROOT,.fh,1
HKEY_CLASSES_ROOT,.fif,0
HKEY_CLASSES_ROOT,.fig,1
HKEY_CLASSES_ROOT,.fil,1
HKEY_CLASSES_ROOT,.file,1
HKEY_CLASSES_ROOT,.fit,1
HKEY_CLASSES_ROOT,.fits,1
HKEY_CLASSES_ROOT,.fky,1
HKEY_CLASSES_ROOT,.flac,2
HKEY_CLASSES_ROOT,.flp,1
HKEY_CLASSES_ROOT,.fls,1
HKEY_CLASSES_ROOT,.flt,1
HKEY_CLASSES_ROOT,.fluid,1
HKEY_CLASSES_ROOT,.flv,1
HKEY_CLASSES_ROOT,.fmp,0
HKEY_CLASSES_ROOT,.fmt,1
HKEY_CLASSES_ROOT,.fnd,1
HKEY_CLASSES_ROOT,.fnt,1
HKEY_CLASSES_ROOT,.fon,1
HKEY_CLASSES_ROOT,.font,1
HKEY_CLASSES_ROOT,.form,1
HKEY_CLASSES_ROOT,.fp7,1
HKEY_CLASSES_ROOT,.fpt,1
HKEY_CLASSES_ROOT,.frm,1
HKEY_CLASSES_ROOT,.frx,1
HKEY_CLASSES_ROOT,.fs,1
HKEY_CLASSES_ROOT,.fsc,1
HKEY_CLASSES_ROOT,.fsi,1
HKEY_CLASSES_ROOT,.fsscript,1
HKEY_CLASSES_ROOT,.fst,1
HKEY_CLASSES_ROOT,.fsx,1
HKEY_CLASSES_ROOT,.ftl,1
HKEY_CLASSES_ROOT,.ftw,1
HKEY_CLASSES_ROOT,.fx,1
HKEY_CLASSES_ROOT,.fxp,1
HKEY_CLASSES_ROOT,.fzz,1
HKEY_CLASSES_ROOT,.g,1
HKEY_CLASSES_ROOT,.g64,1
HKEY_CLASSES_ROOT,.gem,1
HKEY_CLASSES_ROOT,.gemspec,1
HKEY_CLASSES_ROOT,.gfx,1
HKEY_CLASSES_ROOT,.gfy2,1
HKEY_CLASSES_ROOT,.ghi,1
HKEY_CLASSES_ROOT,.gho,1
HKEY_CLASSES_ROOT,.ghs,1
HKEY_CLASSES_ROOT,.gi,1
HKEY_CLASSES_ROOT,.gif,2
HKEY_CLASSES_ROOT,.gitattributes,1
HKEY_CLASSES_ROOT,.gitconfig,1
HKEY_CLASSES_ROOT,.gitignore,1
HKEY_CLASSES_ROOT,.gitmodules,0
HKEY_CLASSES_ROOT,.glb,1
HKEY_CLASSES_ROOT,.gltf,1
HKEY_CLASSES_ROOT,.gml,1
HKEY_CLASSES_ROOT,.gmmp,0
HKEY_CLASSES_ROOT,.go,1
HKEY_CLASSES_ROOT,.gp,1
HKEY_CLASSES_ROOT,.gp4,1
HKEY_CLASSES_ROOT,.gp5,1
HKEY_CLASSES_ROOT,.gpg,1
HKEY_CLASSES_ROOT,.gpt,1
HKEY_CLASSES_ROOT,.gpx,1
HKEY_CLASSES_ROOT,.gradle,1
HKEY_CLASSES_ROOT,.groovy,1
HKEY_CLASSES_ROOT,.group,0
HKEY_CLASSES_ROOT,.grp,0
HKEY_CLASSES_ROOT,.gsf,0
HKEY_CLASSES_ROOT,.gsm,1
HKEY_CLASSES_ROOT,.gsp,1
HKEY_CLASSES_ROOT,.gz,1
HKEY_CLASSES_ROOT,.gzip,1
HKEY_CLASSES_ROOT,.h,2
HKEY_CLASSES_ROOT,.h++,1
HKEY_CLASSES_ROOT,.h5,1
HKEY_CLASSES_ROOT,.handlebars,1
HKEY_CLASSES_ROOT,.hbs,1
HKEY_CLASSES_ROOT,.hdi,0
HKEY_CLASSES_ROOT,.hdp,1
HKEY_CLASSES_ROOT,.heic,2
HKEY_CLASSES_ROOT,.heics,0
HKEY_CLASSES_ROOT,.heif,1
HKEY_CLASSES_ROOT,.heifs,0
HKEY_CLASSES_ROOT,.hex,1
HKEY_CLASSES_ROOT,.hfs,1
HKEY_CLASSES_ROOT,.hfsx,1
HKEY_CLASSES_ROOT,.hh,1
HKEY_CLASSES_ROOT,.hhc,1
HKEY_CLASSES_ROOT,.hif,1
HKEY_CLASSES_ROOT,.hlp,0
HKEY_CLASSES_ROOT,.hot,1
HKEY_CLASSES_ROOT,.hpgl,1
HKEY_CLASSES_ROOT,.hpp,2
HKEY_CLASSES_ROOT,.hqx,1
HKEY_CLASSES_ROOT,.hta,1
HKEY_CLASSES_ROOT,.htc,0
HKEY_CLASSES_ROOT,.htm,3
HKEY_CLASSES_ROOT,.html,2
HKEY_CLASSES_ROOT,.htt,1
HKEY_CLASSES_ROOT,.htw,1
HKEY_CLASSES_ROOT,.htx,1
HKEY_CLASSES_ROOT,.hwp,1
HKEY_CLASSES_ROOT,.hxi,1
HKEY_CLASSES_ROOT,.hxq,1
HKEY_CLASSES_ROOT,.hxr,1
HKEY_CLASSES_ROOT,.hxs,1
HKEY_CLASSES_ROOT,.hxw,1
HKEY_CLASSES_ROOT,.hxx,2
HKEY_CLASSES_ROOT,.i,2
HKEY_CLASSES_ROOT,.ibq,1
HKEY_CLASSES_ROOT,.icc,0
HKEY_CLASSES_ROOT,.icl,0
HKEY_CLASSES_ROOT,.icm,1
HKEY_CLASSES_ROOT,.ico,2
HKEY_CLASSES_ROOT,.ics,2
HKEY_CLASSES_ROOT,.idanmu,1
HKEY_CLASSES_ROOT,.idl,1
HKEY_CLASSES_ROOT,.idq,1
HKEY_CLASSES_ROOT,.ies,1
HKEY_CLASSES_ROOT,.if,1
HKEY_CLASSES_ROOT,.iff,1
HKEY_CLASSES_ROOT,.ifo,1
HKEY_CLASSES_ROOT,.igp,0
HKEY_CLASSES_ROOT,.igs,1
HKEY_CLASSES_ROOT,.ihex,1
HKEY_CLASSES_ROOT,.iif,1
HKEY_CLASSES_ROOT,.iiq,2
HKEY_CLASSES_ROOT,.ilk,1
HKEY_CLASSES_ROOT,.imc,1
HKEY_CLASSES_ROOT,.imesx,0
HKEY_CLASSES_ROOT,.img,1
HKEY_CLASSES_ROOT,.iml,1
HKEY_CLASSES_ROOT,.imp,1
HKEY_CLASSES_ROOT,.import,1
HKEY_CLASSES_ROOT,.in,1
HKEY_CLASSES_ROOT,.inc,1
HKEY_CLASSES_ROOT,.inf,2
HKEY_CLASSES_ROOT,.ini,2
HKEY_CLASSES_ROOT,.inl,1
HKEY_CLASSES_ROOT,.ino,1
HKEY_CLASSES_ROOT,.inp,1
HKEY_CLASSES_ROOT,.ins,1
HKEY_CLASSES_ROOT,.int,1
HKEY_CLASSES_ROOT,.inv,1
HKEY_CLASSES_ROOT,.inx,2
HKEY_CLASSES_ROOT,.in_,1
HKEY_CLASSES_ROOT,.io,1
HKEY_CLASSES_ROOT,.ipa,1
HKEY_CLASSES_ROOT,.ipg,1
HKEY_CLASSES_ROOT,.ipk,1
HKEY_CLASSES_ROOT,.ipr,0
HKEY_CLASSES_ROOT,.ips,1
HKEY_CLASSES_ROOT,.ipsw,1
HKEY_CLASSES_ROOT,.ipt,1
HKEY_CLASSES_ROOT,.ipynb,1
HKEY_CLASSES_ROOT,.iqy,1
HKEY_CLASSES_ROOT,.isf,1
HKEY_CLASSES_ROOT,.ism,1
HKEY_CLASSES_ROOT,.iso,1
HKEY_CLASSES_ROOT,.iss,1
HKEY_CLASSES_ROOT,.isz,1
HKEY_CLASSES_ROOT,.itdb,1
HKEY_CLASSES_ROOT,.ite,1
HKEY_CLASSES_ROOT,.itl,1
HKEY_CLASSES_ROOT,.itlp,1
HKEY_CLASSES_ROOT,.itls,1
HKEY_CLASSES_ROOT,.itms,1
HKEY_CLASSES_ROOT,.itpc,1
HKEY_CLASSES_ROOT,.itr,1
HKEY_CLASSES_ROOT,.IVF,0
HKEY_CLASSES_ROOT,.jade,1
HKEY_CLASSES_ROOT,.jar,1
HKEY_CLASSES_ROOT,.jav,2
HKEY_CLASSES_ROOT,.java,2
HKEY_CLASSES_ROOT,.jbf,1
HKEY_CLASSES_ROOT,.jfif,2
HKEY_CLASSES_ROOT,.jj,1
HKEY_CLASSES_ROOT,.jks,1
HKEY_CLASSES_ROOT,.jmp,1
HKEY_CLASSES_ROOT,.jmx,1
HKEY_CLASSES_ROOT,.jnlp,1
HKEY_CLASSES_ROOT,.jnt,1
HKEY_CLASSES_ROOT,.Job,0
HKEY_CLASSES_ROOT,.jod,0
HKEY_CLASSES_ROOT,.jp2,1
HKEY_CLASSES_ROOT,.jpe,2
HKEY_CLASSES_ROOT,.jpeg,2
HKEY_CLASSES_ROOT,.jpf,1
HKEY_CLASSES_ROOT,.jpg,2
HKEY_CLASSES_ROOT,.jps,1
HKEY_CLASSES_ROOT,.js,2
HKEY_CLASSES_ROOT,.jscsrc,1
HKEY_CLASSES_ROOT,.JSE,0
HKEY_CLASSES_ROOT,.jsf,1
HKEY_CLASSES_ROOT,.jshintrc,1
HKEY_CLASSES_ROOT,.jshtm,1
HKEY_CLASSES_ROOT,.json,1
HKEY_CLASSES_ROOT,.jsp,1
HKEY_CLASSES_ROOT,.jsx,1
HKEY_CLASSES_ROOT,.jt,1
HKEY_CLASSES_ROOT,.jxl,1
HKEY_CLASSES_ROOT,.jxr,2
HKEY_CLASSES_ROOT,.k25,2
HKEY_CLASSES_ROOT,.kci,1
HKEY_CLASSES_ROOT,.kdc,2
HKEY_CLASSES_ROOT,.key,1
HKEY_CLASSES_ROOT,.keystore,1
HKEY_CLASSES_ROOT,.kml,1
HKEY_CLASSES_ROOT,.kmz,1
HKEY_CLASSES_ROOT,.kra,1
HKEY_CLASSES_ROOT,.label,0
HKEY_CLASSES_ROOT,.las,0
HKEY_CLASSES_ROOT,.latex,1
HKEY_CLASSES_ROOT,.lef,1
HKEY_CLASSES_ROOT,.less,1
HKEY_CLASSES_ROOT,.lfp,1
HKEY_CLASSES_ROOT,.lgn,1
HKEY_CLASSES_ROOT,.lha,1
HKEY_CLASSES_ROOT,.lib,2
HKEY_CLASSES_ROOT,.library-ms,1
HKEY_CLASSES_ROOT,.lin,0
HKEY_CLASSES_ROOT,.list,1
HKEY_CLASSES_ROOT,.lit,1
HKEY_CLASSES_ROOT,.lli,0
HKEY_CLASSES_ROOT,.lnk,2
HKEY_CLASSES_ROOT,.local,0
HKEY_CLASSES_ROOT,.log,1
HKEY_CLASSES_ROOT,.loop,1
HKEY_CLASSES_ROOT,.lpcm,0
HKEY_CLASSES_ROOT,.lpk,1
HKEY_CLASSES_ROOT,.lrf,1
HKEY_CLASSES_ROOT,.lsp,0
HKEY_CLASSES_ROOT,.lst,2
HKEY_CLASSES_ROOT,.lua,1
HKEY_CLASSES_ROOT,.lvm,1
HKEY_CLASSES_ROOT,.lwp,1
HKEY_CLASSES_ROOT,.lxf,1
HKEY_CLASSES_ROOT,.lyr,1
HKEY_CLASSES_ROOT,.lz,1
HKEY_CLASSES_ROOT,.lzh,1
HKEY_CLASSES_ROOT,.lzma,1
HKEY_CLASSES_ROOT,.lzma86,1
HKEY_CLASSES_ROOT,.m,1
HKEY_CLASSES_ROOT,.m14,1
HKEY_CLASSES_ROOT,.m1v,3
HKEY_CLASSES_ROOT,.m2t,2
HKEY_CLASSES_ROOT,.m2ts,2
HKEY_CLASSES_ROOT,.m2v,2
HKEY_CLASSES_ROOT,.m3u,2
HKEY_CLASSES_ROOT,.m3u8,1
HKEY_CLASSES_ROOT,.m4a,2
HKEY_CLASSES_ROOT,.m4b,2
HKEY_CLASSES_ROOT,.m4p,2
HKEY_CLASSES_ROOT,.m4r,1
HKEY_CLASSES_ROOT,.m4v,2
HKEY_CLASSES_ROOT,.mak,1
HKEY_CLASSES_ROOT,.makefile,1
HKEY_CLASSES_ROOT,.man,0
HKEY_CLASSES_ROOT,.manifest,0
HKEY_CLASSES_ROOT,.mapimail,1
HKEY_CLASSES_ROOT,.markdown,1
HKEY_CLASSES_ROOT,.mbr,1
HKEY_CLASSES_ROOT,.MCADDON,1
HKEY_CLASSES_ROOT,.MCEDITORADDON,1
HKEY_CLASSES_ROOT,.mcpack,1
HKEY_CLASSES_ROOT,.MCPERF,1
HKEY_CLASSES_ROOT,.MCPROJECT,1
HKEY_CLASSES_ROOT,.MCSHORTCUT,1
HKEY_CLASSES_ROOT,.MCTEMPLATE,1
HKEY_CLASSES_ROOT,.mcworld,1
HKEY_CLASSES_ROOT,.md,1
HKEY_CLASSES_ROOT,.mdb,1
HKEY_CLASSES_ROOT,.mdc,1
HKEY_CLASSES_ROOT,.mdoc,1
HKEY_CLASSES_ROOT,.mdown,1
HKEY_CLASSES_ROOT,.mdtext,1
HKEY_CLASSES_ROOT,.mdtxt,1
HKEY_CLASSES_ROOT,.mdwn,1
HKEY_CLASSES_ROOT,.mef,2
HKEY_CLASSES_ROOT,.memo,1
HKEY_CLASSES_ROOT,.mer,1
HKEY_CLASSES_ROOT,.mesh,1
HKEY_CLASSES_ROOT,.meta,1
HKEY_CLASSES_ROOT,.mex,1
HKEY_CLASSES_ROOT,.mf,1
HKEY_CLASSES_ROOT,.mft,1
HKEY_CLASSES_ROOT,.mht,3
HKEY_CLASSES_ROOT,.mhtml,2
HKEY_CLASSES_ROOT,.mid,2
HKEY_CLASSES_ROOT,.midi,2
HKEY_CLASSES_ROOT,.mif,1
HKEY_CLASSES_ROOT,.mig,1
HKEY_CLASSES_ROOT,.mix,1
HKEY_CLASSES_ROOT,.mjp,1
HKEY_CLASSES_ROOT,.mjs,1
HKEY_CLASSES_ROOT,.mk,2
HKEY_CLASSES_ROOT,.mk3d,1
HKEY_CLASSES_ROOT,.mka,1
HKEY_CLASSES_ROOT,.mkd,1
HKEY_CLASSES_ROOT,.mkdn,1
HKEY_CLASSES_ROOT,.mkv,2
HKEY_CLASSES_ROOT,.ml,1
